eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag
0.5,0.2,lambda-alpha1,0.2305396675453284,0.0,0.2305396675453284
0.5,0.2,lambda-alpha2,0.18426397402618772,-960.0,0.05042148710003318
0.5,0.2,lambda-mass_disk1,0.3521809520272306,90.0,0.2545309875207527
0.5,0.2,lambda-mass_disk2,0.36154188773553503,0.0,0.36154188773553503
0.6,0.2,lambda-rmin1,-0.13388679052936717,-540.0,-0.07002987786422037
0.6,0.2,lambda-rmin2,-0.16109858705709895,40.0,-0.07614345055461014
0.6,0.2,lambda-mdot1,0.635341927356988,50.0,0.49438808903065024
0.6,0.2,lambda-mdot2,0.6937953688513708,0.0,0.6937953688513708
0.6,0.2,rmin1-rmin2,0.5975487567975911,0.0,0.5975487567975911
0.6,0.2,mdot1-mdot2,0.9721468890958975,-50.0,0.9672101456153096
0.6,0.2,mdot1-rmin1,-0.11656383935722336,-620.0,-0.07892692703191834
0.6,0.2,mdot1-rmin2,-0.15578890786376673,-60.0,-0.12655439961368603
0.6,0.2,mdot2-rmin1,-0.1070696700717234,-630.0,-0.08806666712573571
0.6,0.2,mdot2-rmin2,-0.15477778177733995,-70.0,-0.12932488851113116
0.6,0.2,lambda-alpha1,-0.10626025571805368,0.0,-0.10626025571805368
0.6,0.2,lambda-alpha2,0.2593153737335103,-90.0,0.15202102791436642
0.6,0.2,lambda-mass_disk1,0.6372161631677027,10.0,0.5458657150064158
0.6,0.2,lambda-mass_disk2,0.6148635429180834,10.0,0.5873698448813807
0.8,0.2,lambda-rmin1,-0.12365008493384975,100.0,-0.08157789993591064
0.8,0.2,lambda-rmin2,-0.18949104728784205,-890.0,-0.051620387072142795
0.8,0.2,lambda-mdot1,-0.2515093582785751,990.0,-0.1297029881666309
0.8,0.2,lambda-mdot2,-0.21593904478161566,990.0,0.1839222471193303
0.8,0.2,rmin1-rmin2,0.31002067944560885,0.0,0.31002067944560885
0.8,0.2,mdot1-mdot2,0.9487003315891306,-170.0,0.9478838293770032
0.8,0.2,mdot1-rmin1,-0.12415918717854364,380.0,-0.09256418492800943
0.8,0.2,mdot1-rmin2,-0.37330194539115724,240.0,-0.3596672826836232
0.8,0.2,mdot2-rmin1,-0.130493226808695,530.0,-0.1196679780714474
0.8,0.2,mdot2-rmin2,-0.39164492013609387,-730.0,-0.3757850114195854
0.8,0.2,lambda-alpha1,-0.2398103061911415,0.0,-0.2398103061911415
0.8,0.2,lambda-alpha2,-0.21253671114389674,60.0,-0.11332381215648298
0.8,0.2,lambda-mass_disk1,-0.25480993051897854,970.0,0.01869578852384379
0.8,0.2,lambda-mass_disk2,-0.23483241567623628,980.0,0.023213151072288406
0.0,0.3,lambda-rmin1,0.08557003915786414,830.0,-0.044274897125640936
0.0,0.3,lambda-rmin2,-0.07227349817370299,-470.0,0.01763678523522524
0.0,0.3,lambda-mdot1,-0.22741957831266266,0.0,-0.22741957831266266
0.0,0.3,lambda-mdot2,-0.17356433363450016,-970.0,-0.050494442318193916
0.0,0.3,rmin1-rmin2,0.8343845419078639,-140.0,-0.45965686866848604
0.0,0.3,mdot1-mdot2,0.987116106693732,30.0,0.9831249916162836
0.0,0.3,mdot1-rmin1,0.032159081532011795,-780.0,0.0037554993548612613
0.0,0.3,mdot1-rmin2,0.047743915771789956,770.0,0.007508687706434296
0.0,0.3,mdot2-rmin1,0.03925824565389547,-740.0,-0.0032803677292842647
0.0,0.3,mdot2-rmin2,0.04938366903998444,150.0,0.01007860353737922
0.0,0.3,lambda-alpha1,0.09262884701028047,960.0,0.022098659079396146
0.0,0.3,lambda-alpha2,0.1193279395998762,-750.0,-0.029109798955146902
0.0,0.3,lambda-mass_disk1,-0.1964921149441067,0.0,-0.1964921149441067
0.0,0.3,lambda-mass_disk2,-0.1829432618394176,-940.0,-0.04400932764421148
0.1,0.3,lambda-rmin1,-0.5474165801155874,120.0,-0.029323847462116942
0.1,0.3,lambda-rmin2,-0.38211363264615816,-80.0,-0.10381284050867019
0.1,0.3,lambda-mdot1,-0.43368369828364534,20.0,-0.4235761849144247
0.1,0.3,lambda-mdot2,0.36017843979183695,-460.0,0.21712716269642057
0.1,0.3,rmin1-rmin2,0.4013020144453127,-250.0,0.0649399867825961
0.1,0.3,mdot1-mdot2,0.7876060494091316,10.0,0.7737955242004333
0.1,0.3,mdot1-rmin1,0.527545137373057,320.0,0.10999041655335205
0.1,0.3,mdot1-rmin2,0.3313094209258335,20.0,0.3031148055111586
0.1,0.3,mdot2-rmin1,0.49442008940246057,330.0,0.10111532421938178
0.1,0.3,mdot2-rmin2,0.3261489126513606,100.0,0.27577050902682865
0.1,0.3,lambda-alpha1,-0.24827853143016937,-410.0,0.2441058212946193
0.1,0.3,lambda-alpha2,-0.2800164736075937,30.0,-0.2653727417468456
0.1,0.3,lambda-mass_disk1,-0.39798236994752,0.0,-0.39798236994752
0.1,0.3,lambda-mass_disk2,0.3482341664954784,-560.0,0.3461324258309104
0.2,0.3,lambda-rmin1,0.6482787739005766,-10.0,-0.3466415717839725
0.2,0.3,lambda-rmin2,0.4655518315781706,10.0,-0.1618707805441002
0.2,0.3,lambda-mdot1,0.14491404048501685,820.0,-0.04487344830298234
0.2,0.3,lambda-mdot2,0.578937335949363,0.0,0.578937335949363
0.2,0.3,rmin1-rmin2,-0.4769896217939879,-30.0,-0.17686835330859116
0.2,0.3,mdot1-mdot2,0.7908569631426136,-20.0,0.7798355169660433
0.2,0.3,mdot1-rmin1,0.058109681422777976,-650.0,0.025628606060748228
0.2,0.3,mdot1-rmin2,-0.18359446480279754,-20.0,-0.1690833428499317
0.2,0.3,mdot2-rmin1,0.4305263706771732,-10.0,-0.2083733773041455
0.2,0.3,mdot2-rmin2,-0.3922167005398759,-10.0,-0.21783750095650636
0.2,0.3,lambda-alpha1,0.09729079250567381,-990.0,0.021837300883496384
0.2,0.3,lambda-alpha2,-0.5829657369976798,0.0,-0.5829657369976798
0.2,0.3,lambda-mass_disk1,0.15175706956535168,710.0,-0.041591542118973215
0.2,0.3,lambda-mass_disk2,0.5154661288094637,0.0,0.5154661288094637
0.3,0.3,lambda-rmin1,-0.17201502597283547,-840.0,-0.16512340022570415
0.3,0.3,lambda-rmin2,0.11172170280290916,-450.0,0.045925592569522944
0.3,0.3,lambda-mdot1,-0.23487268303586833,1000.0,0.008729895967309699
0.3,0.3,lambda-mdot2,0.2297605225204685,-1000.0,0.07760933555201618
0.3,0.3,rmin1-rmin2,0.5680595696535587,0.0,0.5680595696535587
0.3,0.3,mdot1-mdot2,0.9975252520069912,0.0,0.9975252520069912
0.3,0.3,mdot1-rmin1,-0.32167403975105335,-240.0,-0.315508957919872
0.3,0.3,mdot1-rmin2,-0.18533471952620229,100.0,-0.17071259078576226
0.3,0.3,mdot2-rmin1,-0.32671935713166317,0.0,-0.32671935713166317
0.3,0.3,mdot2-rmin2,-0.1812771575086081,-730.0,-0.1660411789244468
0.3,0.3,lambda-alpha1,-0.27572551426845415,0.0,-0.27572551426845415
0.3,0.3,lambda-alpha2,0.36900312373390487,0.0,0.36900312373390487
0.3,0.3,lambda-mass_disk1,-0.2375970906247766,1000.0,0.020730477440525003
0.3,0.3,lambda-mass_disk2,-0.23003102636253145,990.0,-0.0513464442064526
0.4,0.3,lambda-rmin1,-0.12928273778357216,-140.0,-0.10778622756335247
0.4,0.3,lambda-rmin2,0.15709613612506423,-550.0,0.10568256738243406
0.4,0.3,lambda-mdot1,0.07673676065442464,-960.0,-0.051034606185932516
0.4,0.3,lambda-mdot2,0.08166304009791392,-960.0,0.07879529171617673
0.4,0.3,rmin1-rmin2,-0.18245201436411823,10.0,-0.149775256549409
0.4,0.3,mdot1-mdot2,0.9912032693260631,0.0,0.9912032693260631
0.4,0.3,mdot1-rmin1,-0.07353490285638231,20.0,-0.05517554836711049
0.4,0.3,mdot1-rmin2,0.18036942153048313,990.0,0.12088085971010311
0.4,0.3,mdot2-rmin1,-0.06968705544149116,20.0,-0.06849648371726487
0.4,0.3,mdot2-rmin2,0.17840091766708846,1000.0,0.13669295730129924
0.4,0.3,lambda-alpha1,0.12445677753492415,-820.0,0.041382649757883284
0.4,0.3,lambda-alpha2,-0.15276456673077726,-930.0,-0.11921254118103244
0.4,0.3,lambda-mass_disk1,0.08044593592101636,-1000.0,-0.025012915147278755
0.4,0.3,lambda-mass_disk2,0.09078755949421706,0.0,0.09078755949421706
0.5,0.3,lambda-rmin1,0.1234052629512334,-450.0,0.015974987482234908
0.5,0.3,lambda-rmin2,-0.11226540303338324,-300.0,0.006310106327563009
0.5,0.3,lambda-mdot1,-0.21595149889304893,0.0,-0.21595149889304893
0.5,0.3,lambda-mdot2,-0.15715775952477032,-940.0,-0.0016376313347623913
0.5,0.3,rmin1-rmin2,-0.14596337915216176,-890.0,0.0824763563515283
0.5,0.3,mdot1-mdot2,0.975644442020826,0.0,0.975644442020826
0.5,0.3,mdot1-rmin1,-0.11402220250096515,450.0,-0.07610251464221979
0.5,0.3,mdot1-rmin2,0.24102421785403771,70.0,0.23053579147225842
0.5,0.3,mdot2-rmin1,-0.09853063211422317,450.0,-0.07883240777454703
0.5,0.3,mdot2-rmin2,0.24138114878846628,0.0,0.24138114878846628
0.5,0.3,lambda-alpha1,-0.16825697496291658,500.0,0.02764869351218382
0.5,0.3,lambda-alpha2,0.1011286925437915,-870.0,0.08553281247546221
0.5,0.3,lambda-mass_disk1,-0.17397618802362222,0.0,-0.17397618802362222
0.5,0.3,lambda-mass_disk2,-0.1682124362892586,-870.0,-0.05976802677537999
0.6,0.3,lambda-rmin1,-0.12304858847855678,-790.0,0.041973915310238114
0.6,0.3,lambda-rmin2,-0.12186483914445538,390.0,-0.04026721032033223
0.6,0.3,lambda-mdot1,-0.3028689242844149,0.0,-0.3028689242844149
0.6,0.3,lambda-mdot2,-0.3088882685252276,1000.0,-0.04379282642492093
0.6,0.3,rmin1-rmin2,0.30935640625741634,0.0,0.30935640625741634
0.6,0.3,mdot1-mdot2,0.9631903418639334,0.0,0.9631903418639334
0.6,0.3,mdot1-rmin1,-0.052834577785691055,-180.0,-0.006140158672683087
0.6,0.3,mdot1-rmin2,0.10109304626363812,390.0,0.050118108290175524
0.6,0.3,mdot2-rmin1,-0.05688377571153721,290.0,0.0028161386250541913
0.6,0.3,mdot2-rmin2,0.0894127141085788,770.0,0.040249296758296374
0.6,0.3,lambda-alpha1,0.11191422366399699,420.0,0.055582372520549324
0.6,0.3,lambda-alpha2,-0.1286989873902804,-730.0,-0.04511894256037514
0.6,0.3,lambda-mass_disk1,-0.2930681140845856,970.0,-0.22202116305775238
0.6,0.3,lambda-mass_disk2,-0.28216347392158847,920.0,-0.10025314352913178
0.8,0.3,lambda-rmin1,-0.738674376562019,10.0,-0.7364002619295706
0.8,0.3,lambda-rmin2,0.578490790289446,-230.0,-0.06938065460145038
0.8,0.3,lambda-mdot1,-0.6880415046983883,-20.0,-0.6727903071539132
0.8,0.3,lambda-mdot2,0.7718917499522147,0.0,0.7718917499522147
0.8,0.3,rmin1-rmin2,-0.5037496164895788,-230.0,0.29688464968714645
0.8,0.3,mdot1-mdot2,0.7344071633410518,-250.0,-0.167757098855286
0.8,0.3,mdot1-rmin1,0.6136101477516308,60.0,0.45736190444843056
0.8,0.3,mdot1-rmin2,-0.45459258321441326,-180.0,0.08017161371461294
0.8,0.3,mdot2-rmin1,-0.6232965055202981,0.0,-0.6232965055202981
0.8,0.3,mdot2-rmin2,0.5086752901035083,-240.0,-0.1354471261625443
0.8,0.3,lambda-alpha1,-0.7302246245702143,-10.0,-0.7272965747089746
0.8,0.3,lambda-alpha2,-0.5232691527303711,0.0,-0.5232691527303711
0.8,0.3,lambda-mass_disk1,0.6650770038239607,90.0,0.35566979882609884
0.8,0.3,lambda-mass_disk2,-0.5412562141634413,540.0,-0.08638185957706715
